Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,169.68785095214844,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900
2015-01-05,166.6233367919922,201.72000122070312,204.3699951171875,201.35000610351562,204.1699981689453,169632600
2015-01-06,165.05389404296875,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789062,209151400
2015-01-07,167.11070251464844,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700
2015-01-08,170.07601928710938,205.89999389648438,206.16000366210938,203.99000549316406,204.00999450683594,147217800
2015-01-09,168.71319580078125,204.25,206.4199981689453,203.50999450683594,206.39999389648438,158567300
2015-01-12,167.39154052734375,202.64999389648438,204.60000610351562,201.9199981689453,204.41000366210938,144396100
2015-01-13,166.9207000732422,202.0800018310547,205.47999572753906,200.50999450683594,204.1199951171875,214553300
2015-01-14,165.9129638671875,200.86000061035156,201.10000610351562,198.57000732421875,199.64999389648438,192991100
2015-01-15,164.3931121826172,199.02000427246094,202.00999450683594,198.8800048828125,201.6300048828125,176613900
2015-01-16,166.5489959716797,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246094,211879600
2015-01-20,166.90420532226562,202.05999755859375,202.72000122070312,200.1699981689453,202.39999389648438,130991100
2015-01-21,167.74668884277344,203.0800018310547,203.66000366210938,200.94000244140625,201.5,122942700
2015-01-22,170.24124145507812,206.10000610351562,206.25999450683594,202.3300018310547,203.99000549316406,174356000
2015-01-23,169.30787658691406,204.97000122070312,206.10000610351562,204.80999755859375,205.7899932861328,117516800
2015-01-26,169.70437622070312,205.4499969482422,205.55999755859375,203.85000610351562,204.7100067138672,92009700
2015-01-27,167.46591186523438,202.74000549316406,204.1199951171875,201.74000549316406,202.97000122070312,134044600
2015-01-28,165.31822204589844,200.13999938964844,204.2899932861328,199.91000366210938,204.1699981689453,168514300
2015-01-29,166.84637451171875,201.99000549316406,202.3000030517578,198.67999267578125,200.3800048828125,173585400
2015-01-30,164.74827575683594,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700
2015-02-02,166.7884979248047,201.9199981689453,202.02999877929688,197.86000061035156,200.0500030517578,163107000
2015-02-03,169.2004852294922,204.83999633789062,204.85000610351562,202.5500030517578,203.0,124212900
2015-02-04,168.5561981201172,204.05999755859375,205.3800048828125,203.50999450683594,203.9199981689453,134306700
2015-02-05,170.25782775878906,206.1199951171875,206.3000030517578,204.77000427246094,204.86000061035156,97953200
2015-02-06,169.78692626953125,205.5500030517578,207.24000549316406,204.9199981689453,206.55999755859375,125672000
2015-02-09,169.02699279785156,204.6300048828125,205.63999938964844,204.13999938964844,204.77000427246094,87219000
2015-02-10,170.8277587890625,206.80999755859375,207.1199951171875,204.67999267578125,205.8800048828125,96164200
2015-02-11,170.92686462402344,206.92999267578125,207.4499969482422,205.8300018310547,206.61000061035156,91087800
2015-02-12,172.57064819335938,208.9199981689453,208.99000549316406,206.97000122070312,207.88999938964844,97545900
2015-02-13,173.28097534179688,209.77999877929688,209.83999633789062,208.75999450683594,209.07000732421875,93670400
2015-02-17,173.5535430908203,210.11000061035156,210.32000732421875,209.10000610351562,209.39999389648438,76968200
2015-02-18,173.5701141357422,210.1300048828125,210.22000122070312,209.33999633789062,209.66000366210938,80652900
2015-02-19,173.44619750976562,209.97999572753906,210.4199981689453,209.24000549316406,209.41000366210938,91462500
2015-02-20,174.48699951171875,211.24000549316406,211.3300018310547,208.72999572753906,209.47999572753906,140896400
2015-02-23,174.4622039794922,211.2100067138672,211.2100067138672,210.47999572753906,210.94000244140625,74411100
2015-02-24,174.9578094482422,211.80999755859375,212.0500030517578,210.75999450683594,211.1199951171875,72472300
2015-02-25,174.8091278076172,211.6300048828125,212.24000549316406,211.22000122070312,211.66000366210938,73061700
2015-02-26,174.60263061523438,211.3800048828125,211.7100067138672,210.64999389648438,211.52000427246094,72697900
2015-02-27,174.0078887939453,210.66000366210938,211.5800018310547,210.60000610351562,211.25999450683594,108076000
2015-03-02,175.10650634765625,211.99000549316406,212.05999755859375,210.72000122070312,210.77999877929688,87491400
2015-03-03,174.3878936767578,211.1199951171875,212.0500030517578,210.0800018310547,211.47000122070312,110325800
2015-03-04,173.6527099609375,210.22999572753906,210.49000549316406,209.05999755859375,210.39999389648438,114497200
2015-03-05,173.8427276611328,210.4600067138672,210.8000030517578,209.85000610351562,210.6199951171875,76873000
2015-03-06,171.397705078125,207.5,209.94000244140625,207.10000610351562,209.4199981689453,188128000
2015-03-09,172.10804748535156,208.36000061035156,208.7899932861328,207.5500030517578,207.74000549316406,89818900
2015-03-10,169.3161163330078,204.97999572753906,206.80999755859375,204.92999267578125,206.7100067138672,157121300
2015-03-11,168.91964721679688,204.5,205.5,204.39999389648438,205.2899932861328,110145700
2015-03-12,171.06729125976562,207.10000610351562,207.17999267578125,205.1999969482422,205.25999450683594,93993500
2015-03-13,170.01824951171875,205.8300018310547,207.92999267578125,204.5800018310547,206.77000427246094,162410900
2015-03-16,172.28977966308594,208.5800018310547,208.69000244140625,205.86000061035156,206.7100067138672,136099200
2015-03-17,171.77764892578125,207.9600067138672,208.4199981689453,206.97999572753906,207.69000244140625,94510400
2015-03-18,173.8427276611328,210.4600067138672,211.27000427246094,206.6199951171875,207.38999938964844,228808500
2015-03-19,173.04974365234375,209.5,210.47000122070312,209.02999877929688,209.9600067138672,117917300
2015-03-20,174.57713317871094,210.41000366210938,211.02000427246094,209.49000549316406,209.7100067138672,177715100
2015-03-23,174.23699951171875,210.0,211.11000061035156,210.0,210.4199981689453,71784500
2015-03-24,173.25796508789062,208.82000732421875,210.39999389648438,208.74000549316406,209.85000610351562,77805300
2015-03-25,170.71910095214844,205.75999450683594,209.35000610351562,205.7100067138672,209.07000732421875,159521700
2015-03-26,170.31251525878906,205.27000427246094,206.3699951171875,204.1199951171875,204.9600067138672,153067200
2015-03-27,170.7024688720703,205.74000549316406,205.9499969482422,204.89999389648438,205.1300048828125,118939000
2015-03-30,172.78504943847656,208.25,208.61000061035156,206.9600067138672,206.97999572753906,96180400
2015-03-31,171.27499389648438,206.42999267578125,208.10000610351562,206.36000061035156,207.25999450683594,126768700
2015-04-01,170.6693115234375,205.6999969482422,206.4199981689453,204.50999450683594,206.38999938964844,137303600
2015-04-02,171.28329467773438,206.44000244140625,206.97999572753906,205.39999389648438,205.6199951171875,86900900
2015-04-06,172.43653869628906,207.8300018310547,208.4499969482422,205.2100067138672,205.3699951171875,114368200
2015-04-07,171.98025512695312,207.27999877929688,208.75999450683594,207.24000549316406,207.86000061035156,81236300
2015-04-08,172.56101989746094,207.97999572753906,208.50999450683594,207.0800018310547,207.5500030517578,89351900
2015-04-09,173.3243865966797,208.89999389648438,209.17999267578125,207.19000244140625,207.77999877929688,85548900
2015-04-10,174.27020263671875,210.0399932861328,210.08999633789062,208.9600067138672,209.1999969482422,72722900
2015-04-13,173.4819793701172,209.08999633789062,210.6300048828125,209.02999877929688,209.8699951171875,74436600
2015-04-14,173.8138427734375,209.49000549316406,209.7100067138672,208.10000610351562,208.85000610351562,75099900
2015-04-15,174.5937957763672,210.42999267578125,211.0399932861328,209.9499969482422,210.0500030517578,99529300
2015-04-16,174.54403686523438,210.3699951171875,210.97999572753906,209.7899932861328,210.02999877929688,68934900
2015-04-17,172.53611755371094,207.9499969482422,209.22999572753906,207.00999450683594,208.94000244140625,191113200
2015-04-20,174.11257934570312,209.85000610351562,210.25,208.9600067138672,209.05999755859375,92189500
2015-04-21,173.90512084960938,209.60000610351562,210.86000061035156,209.24000549316406,210.6699981689453,72559800
2015-04-22,174.75973510742188,210.6300048828125,210.85000610351562,208.89999389648438,210.00999450683594,78264600
2015-04-23,175.19947814941406,211.16000366210938,211.94000244140625,210.00999450683594,210.14999389648438,102585900
2015-04-24,175.6060333251953,211.64999389648438,211.97000122070312,211.11000061035156,211.66000366210938,61327400
2015-04-27,174.8759002685547,210.77000427246094,212.47999572753906,210.5399932861328,212.3300018310547,79358100
2015-04-28,175.43177795410156,211.44000244140625,211.5,209.3300018310547,210.74000549316406,86863500
2015-04-29,174.7099151611328,210.57000732421875,211.2899932861328,209.60000610351562,210.3699951171875,125684900
2015-04-30,172.95933532714844,208.4600067138672,210.35000610351562,207.6199951171875,209.8800048828125,161304900
